address,latitude,longitude,cbd_dist,min_dist_mrt
"174 ANG MO KIO AVE,Singapore",1.3639743,103.846035,8972.874426294968,777.1625057057281
"541 ANG MO KIO AVE,Singapore",1.3739835500000002,103.85559074965985,10071.820644683878,798.6634601042641
"163 ANG MO KIO AVE,Singapore",1.3738461499999999,103.83858854339786,10144.423617468348,1124.1307959841752
"446 ANG MO KIO AVE,Singapore",1.3677793999999999,103.85533443841078,9385.217268673317,686.0236586823642
"557 ANG MO KIO AVE,Singapore",1.37165465,103.85775588826617,9829.270327480213,926.6759072757714
"603 ANG MO KIO AVE,Singapore",1.3801792,103.83575158255286,10884.008991673305,1035.615956900991
"709 ANG MO KIO AVE,Singapore",1.37589065,103.83348641166818,10460.939946814457,1428.9201460223778
"333 ANG MO KIO AVE,Singapore",1.3766189999999998,103.83421976305227,10524.983146775468,1320.0708738677129
"109 ANG MO KIO AVE,Singapore",1.3639743,103.846035,8972.874426294968,777.1625057057281
"564 ANG MO KIO AVE,Singapore",1.3698918500000001,103.85943216489414,9650.585347778924,1095.6352132874015
"218 ANG MO KIO AVE,Singapore",1.3651411,103.84172788267786,9144.999357179251,1028.0097345180764
"556 ANG MO KIO AVE,Singapore",1.3720322999999999,103.85760484542894,9869.708428287886,919.3722756622327
"156 ANG MO KIO AVE,Singapore",1.3755022499999998,103.83995684140612,10306.03053615421,886.005675867548
"471 ANG MO KIO AVE,Singapore",1.3771605999999998,103.83387465,10590.856556935305,1330.7853434821202
"434 ANG MO KIO AVE,Singapore",1.3679009500000001,103.85345464052526,9390.973422135987,490.234021543963
"560 ANG MO KIO AVE,Singapore",1.3707993,103.85919120619337,9748.036389761724,1072.1443691055276
"332 ANG MO KIO AVE,Singapore",1.36171605,103.85190354303359,8704.275948466237,954.2157981978952
"421 ANG MO KIO AVE,Singapore",1.36537865,103.8529306320964,9110.81593677291,634.3023441716499
"506 ANG MO KIO AVE,Singapore",1.3744109,103.84894612027112,10111.14274133517,490.2031426416237
"631 ANG MO KIO AVE,Singapore",1.3639743,103.846035,8972.874426294968,777.1625057057281
"153 ANG MO KIO AVE,Singapore",1.3763727000000001,103.84207419040436,10375.60091630593,675.3000286844558
"442 ANG MO KIO AVE,Singapore",1.3656538999999999,103.85526058802556,9150.066731852765,795.0722655016879
"558 ANG MO KIO AVE,Singapore",1.37127495,103.8591842845461,9800.349611561029,1076.8564675040855
"212 ANG MO KIO AVE,Singapore",1.3688114,103.84157971000224,9550.050303192818,901.2721400435892
"152 ANG MO KIO AVE,Singapore",1.3766775500000001,103.84016711967655,10432.217562906426,772.3876703460508
"331 ANG MO KIO AVE,Singapore",1.3766525,103.83426273694772,10527.764113793994,1314.1594236654848
"130 ANG MO KIO AVE,Singapore",1.37037985,103.8418901232265,9718.601961980548,857.5784378414359
"646 ANG MO KIO AVE,Singapore",1.3787938,103.8752186,10921.737241453675,1468.4688249555866
"424 ANG MO KIO AVE,Singapore",1.368603,103.85082026935956,9465.691200938098,208.63870477418368
"584 ANG MO KIO AVE,Singapore",1.37075625,103.85349215301376,9706.70239508675,441.9446649320072
"412 ANG MO KIO AVE,Singapore",1.36386765,103.85527909308787,8952.888298445703,929.8856973412933
"612 ANG MO KIO AVE,Singapore",1.3788616,103.83825730436817,10698.80609532503,808.299333900116
"562 ANG MO KIO AVE,Singapore",1.370196,103.85901672502251,9679.857619246255,1049.4731436094148
"150 ANG MO KIO AVE,Singapore",1.3767776999999999,103.84201139498651,10420.855806435853,639.6184450979315
"468 ANG MO KIO AVE,Singapore",1.3649920999999998,103.85631541517873,9083.431197852024,932.8604922854499
"177 ANG MO KIO AVE,Singapore",1.3758152,103.83817218566463,10366.496927505266,998.6260085418437
"415 ANG MO KIO AVE,Singapore",1.3643885500000001,103.85387570262225,9004.092196142099,784.9405065061235
"254 ANG MO KIO AVE,Singapore",1.3702192000000002,103.83469218767918,9819.762462943394,1657.8624036716417
"432 ANG MO KIO AVE,Singapore",1.3683106,103.85360353836923,9436.691364708295,485.4268187391699
"117 ANG MO KIO AVE,Singapore",1.3737864499999999,103.83552337995374,10191.086854248557,1368.4179917268023
"428 ANG MO KIO AVE,Singapore",1.36894055,103.85441145733841,9509.172013820575,550.0229748015067
"573 ANG MO KIO AVE,Singapore",1.37800225,103.83575226675688,10646.411062468616,1102.138440388902
"418 ANG MO KIO AVE,Singapore",1.36496055,103.85404460496275,9067.922912472028,748.0535660167841
"324 ANG MO KIO AVE,Singapore",1.36833675,103.84687972133113,9448.91432029319,354.52769510502515
"234 ANG MO KIO AVE,Singapore",1.3787938,103.8752186,10921.737241453675,1468.4688249555866
"648 ANG MO KIO AVE,Singapore",1.3787938,103.8752186,10921.737241453675,1468.4688249555866
"439 ANG MO KIO AVE,Singapore",1.3768513,103.83427626305227,10549.117229548816,1303.4856925632753
"306 ANG MO KIO AVE,Singapore",1.3787938,103.8752186,10921.737241453675,1468.4688249555866
"729 ANG MO KIO AVE,Singapore",1.3738735,103.84593846951611,10066.026059727343,588.2576567002509
"700C ANG MO KIO AVE,Singapore",1.3695505,103.8465557939056,9584.863349672421,341.502422164419
"620 BEDOK RESERVOIR RD,Singapore,Singapore",1.3338653,103.91821965904623,9332.731643912577,156.19522779350763
"504 BEDOK  3,Singapore",1.3318580500000001,103.93246045032313,10524.780822861805,528.1621999078969
"545 BEDOK  3,Singapore",1.3299811,103.92392410902852,9607.93022569865,876.659880376703
"546 BEDOK  3,Singapore",1.3308022,103.92563099195786,9816.85397633471,904.2817746658737
